id,lat,lng,confirmed,deaths,recovered,existing,Province/State,timestamp,country,Confirmed
Mainland China Beijing,40.1824,116.4142,168,1,9,158,Beijing,2020-02-01,Chine,168
Mainland China Beijing,40.1824,116.4142,191,1,9,181,Beijing,2020-02-02,Chine,191
Mainland China Beijing,40.1824,116.4142,212,1,12,199,Beijing,2020-02-03,Chine,212
Mainland China Beijing,40.1824,116.4142,228,1,23,204,Beijing,2020-02-04,Chine,228
Mainland China Beijing,40.1824,116.4142,253,1,24,228,Beijing,2020-02-05,Chine,253
Mainland China Beijing,40.1824,116.4142,274,1,31,242,Beijing,2020-02-06,Chine,274
Mainland China Beijing,40.1824,116.4142,297,1,33,263,Beijing,2020-02-07,Chine,297
Mainland China Beijing,40.1824,116.4142,315,2,34,279,Beijing,2020-02-08,Chine,315
Mainland China Beijing,40.1824,116.4142,326,2,37,287,Beijing,2020-02-09,Chine,326
Mainland China Beijing,40.1824,116.4142,337,2,44,291,Beijing,2020-02-10,Chine,337
Mainland China Beijing,40.1824,116.4142,342,3,48,291,Beijing,2020-02-11,Chine,342
Mainland China Beijing,40.1824,116.4142,352,3,56,293,Beijing,2020-02-12,Chine,352
Mainland China Beijing,40.1824,116.4142,366,3,69,294,Beijing,2020-02-13,Chine,366
Mainland China Beijing,40.1824,116.4142,372,3,80,289,Beijing,2020-02-14,Chine,372
Mainland China Beijing,40.1824,116.4142,375,4,98,273,Beijing,2020-02-15,Chine,375
Mainland China Beijing,40.1824,116.4142,380,4,108,268,Beijing,2020-02-16,Chine,380
Mainland China Beijing,40.1824,116.4142,381,4,114,263,Beijing,2020-02-17,Chine,381
Mainland China Beijing,40.1824,116.4142,387,4,122,261,Beijing,2020-02-18,Chine,387
Mainland China Beijing,40.1824,116.4142,393,4,145,244,Beijing,2020-02-19,Chine,393
Mainland China Beijing,40.1824,116.4142,395,4,153,238,Beijing,2020-02-20,Chine,395
Mainland China Beijing,40.1824,116.4142,396,4,169,223,Beijing,2020-02-21,Chine,396
Mainland China Beijing,40.1824,116.4142,399,4,178,217,Beijing,2020-02-22,Chine,399
Mainland China Beijing,40.1824,116.4142,399,4,189,206,Beijing,2020-02-23,Chine,399
Mainland China Beijing,40.1824,116.4142,399,4,198,197,Beijing,2020-02-24,Chine,399
Mainland China Beijing,40.1824,116.4142,400,4,215,181,Beijing,2020-02-25,Chine,400
Mainland China Beijing,40.1824,116.4142,400,4,235,161,Beijing,2020-02-26,Chine,400
Mainland China Beijing,40.1824,116.4142,410,5,248,157,Beijing,2020-02-27,Chine,410
Mainland China Beijing,40.1824,116.4142,410,7,257,146,Beijing,2020-02-28,Chine,410
Mainland China Beijing,40.1824,116.4142,411,8,271,132,Beijing,2020-02-29,Chine,411
Mainland China Beijing,40.1824,116.4142,413,8,276,129,Beijing,2020-03-01,Chine,413
Mainland China Beijing,40.1824,116.4142,414,8,282,124,Beijing,2020-03-02,Chine,414
Mainland China Beijing,40.1824,116.4142,414,8,288,118,Beijing,2020-03-03,Chine,414
Mainland China Beijing,40.1824,116.4142,418,8,297,113,Beijing,2020-03-04,Chine,418
Mainland China Beijing,40.1824,116.4142,418,8,297,113,Beijing,2020-03-05,Chine,418
Mainland China Beijing,40.1824,116.4142,422,8,299,115,Beijing,2020-03-06,Chine,422
Mainland China Beijing,40.1824,116.4142,426,8,303,115,Beijing,2020-03-07,Chine,426
Mainland China Beijing,40.1824,116.4142,428,8,308,112,Beijing,2020-03-08,Chine,428
Mainland China Beijing,40.1824,116.4142,428,8,315,105,Beijing,2020-03-09,Chine,428
Mainland China Beijing,40.1824,116.4142,429,8,320,101,Beijing,2020-03-10,Chine,429
Mainland China Chongqing,30.0572,107.874,6,0,0,6,Chongqing,2020-01-22,Chine,6
Mainland China Chongqing,30.0572,107.874,9,0,0,9,Chongqing,2020-01-23,Chine,9
Mainland China Chongqing,30.0572,107.874,27,0,0,27,Chongqing,2020-01-24,Chine,27
Mainland China Chongqing,30.0572,107.874,57,0,0,57,Chongqing,2020-01-25,Chine,57
