timestamp,BS,BE,GE,TI,VD,VS,ZH,JU,NE,FR
2020-09-20,2.0,18.0,37.0,1.0,64.0,6.0,27.0,1.0,5.0,15.0
2020-09-21,2.0,34.5,51.5,3.5,79.0,11.0,36.5,2.5,6.0,19.5
2020-09-22,2.0,34.666666666666664,56.0,3.3333333333333335,99.0,12.333333333333334,44.333333333333336,2.3333333333333335,9.0,17.333333333333332
2020-09-23,2.5,35.25,56.25,3.0,104.75,14.0,50.25,1.75,9.0,15.5
2020-09-24,2.4,35.2,54.8,3.4,100.2,14.2,45.6,2.4,9.4,16.4
2020-09-25,2.6666666666666665,35.333333333333336,52.5,3.0,98.16666666666667,12.833333333333334,53.833333333333336,2.5,9.5,16.166666666666668
2020-09-26,2.7142857142857144,33.857142857142854,48.714285714285715,2.5714285714285716,91.57142857142857,11.714285714285714,53.0,2.2857142857142856,10.0,15.714285714285714
2020-09-27,2.4285714285714284,33.714285714285715,46.57142857142857,2.5714285714285716,86.57142857142857,11.428571428571429,52.857142857142854,2.2857142857142856,9.428571428571429,14.428571428571429
2020-09-28,2.4285714285714284,33.42857142857143,44.42857142857143,2.142857142857143,84.0,11.285714285714286,54.714285714285715,2.5714285714285716,9.714285714285714,13.428571428571429
2020-09-29,3.0,34.857142857142854,45.285714285714285,3.0,76.57142857142857,11.142857142857142,58.0,2.4285714285714284,8.857142857142858,14.571428571428571
2020-09-30,3.2857142857142856,38.0,44.857142857142854,3.5714285714285716,70.71428571428571,12.142857142857142,68.42857142857143,3.4285714285714284,9.428571428571429,16.857142857142858
2020-10-01,4.0,41.42857142857143,49.0,4.285714285714286,74.14285714285714,12.428571428571429,85.28571428571429,3.5714285714285716,11.857142857142858,16.857142857142858
2020-10-02,5.0,47.285714285714285,54.857142857142854,5.285714285714286,74.57142857142857,16.0,94.57142857142857,3.4285714285714284,12.285714285714286,18.714285714285715
2020-10-03,5.571428571428571,48.0,59.714285714285715,6.142857142857143,81.42857142857143,17.714285714285715,108.71428571428571,4.142857142857143,11.428571428571429,20.0
2020-10-04,6.285714285714286,49.42857142857143,61.42857142857143,6.285714285714286,90.0,19.428571428571427,111.71428571428571,4.285714285714286,13.428571428571429,22.571428571428573
2020-10-05,7.0,58.142857142857146,71.71428571428571,11.142857142857142,98.57142857142857,22.285714285714285,124.85714285714286,6.714285714285714,18.0,26.857142857142858
2020-10-06,8.0,65.57142857142857,79.42857142857143,16.285714285714285,108.71428571428571,29.0,138.28571428571428,10.571428571428571,23.428571428571427,30.142857142857142
2020-10-07,9.428571428571429,71.42857142857143,92.57142857142857,20.714285714285715,125.0,39.857142857142854,148.28571428571428,12.714285714285714,28.142857142857142,36.714285714285715
2020-10-08,10.571428571428571,80.71428571428571,104.0,24.857142857142858,138.14285714285714,50.857142857142854,165.57142857142858,15.857142857142858,32.285714285714285,46.57142857142857
2020-10-09,12.142857142857142,89.57142857142857,122.71428571428571,30.285714285714285,155.57142857142858,66.28571428571429,188.71428571428572,18.857142857142858,39.285714285714285,55.57142857142857
2020-10-10,15.428571428571429,98.42857142857143,137.42857142857142,31.0,169.57142857142858,75.42857142857143,202.28571428571428,22.0,43.57142857142857,63.714285714285715
2020-10-11,16.0,105.57142857142857,148.42857142857142,33.285714285714285,177.85714285714286,84.0,212.28571428571428,22.0,42.42857142857143,70.42857142857143
2020-10-12,19.285714285714285,129.42857142857142,169.71428571428572,39.857142857142854,195.28571428571428,111.71428571428571,240.57142857142858,29.0,45.142857142857146,82.42857142857143
