timestamp,Rₑ estimé,min_limit,max_limit
2020-06-01,1.139591387091245,1.4494250473625478,0.8657024113626817
2020-06-02,1.1747429379143213,1.4927219996877872,0.897648152000356
2020-06-03,1.1891469379342081,1.497505805834367,0.9116638137435412
2020-06-04,1.1842776423067518,1.4919835298350381,0.9141350329155492
2020-06-05,1.1711855342217563,1.4699745226174956,0.9099665528624576
2020-06-06,1.1642941404558034,1.461049104059886,0.9042971719635492
2020-06-07,1.1584178334390711,1.4441849005020952,0.9038526508104148
2020-06-08,1.1563860939143726,1.4386243185865493,0.9037510546860696
2020-06-09,1.1648486170172827,1.4396101040512883,0.9140561931023612
2020-06-10,1.1827180472289178,1.4547504820229955,0.9395180842081832
2020-06-11,1.2261906864214775,1.5024900947505249,0.9751380312413176
2020-06-12,1.2969290762618353,1.5778540964052794,1.0410987753698433
2020-06-13,1.3716165540206577,1.6565532468712034,1.1194411634109134
2020-06-14,1.4682216390014449,1.7474194734508115,1.2120229362498909
2020-06-15,1.561386273391265,1.8416805279131396,1.3044271311203073
2020-06-16,1.6490300853360895,1.9250071362764007,1.3956413062253126
2020-06-17,1.7138560468747588,1.9828956660141563,1.4663117699609884
2020-06-18,1.7629581102049774,2.0137591698746182,1.5249088191467892
2020-06-19,1.7555626538140985,1.9929115300314453,1.5265506534942612
2020-06-20,1.6951396862822212,1.9186051487325242,1.4869971045439174
2020-06-21,1.5899839151462098,1.7915630879991618,1.4001034125331466
2020-06-22,1.4592763842716372,1.641438455321785,1.2882789642108858
2020-06-23,1.331482926515155,1.496809937791379,1.1758482289901249
2020-06-24,1.2273489022143569,1.3794168872111476,1.0844021179255097
2020-06-25,1.146565754619695,1.2878087695462292,1.012495472306939
2020-06-26,1.0916058670511426,1.2238657694849406,0.964869112987316
2020-06-27,1.0542306792403249,1.1834813344823911,0.9333094580208268
2020-06-28,1.0367582455406759,1.1650739949105111,0.9165985686379148
2020-06-29,1.0308732288613531,1.1573612432280331,0.911535215373204
2020-06-30,1.0289092340993629,1.1552404394785225,0.9103802596485736
2020-07-01,1.034302613422696,1.1608612968373608,0.9141729132714383
2020-07-02,1.0434416808873417,1.1698203969718282,0.9256858870466469
2020-07-03,1.0620980485318292,1.1892743532809569,0.9416057582112533
2020-07-04,1.0829556912859786,1.2107227034706898,0.9640780667967124
2020-07-05,1.1023079339803028,1.2294088078974683,0.9820522438561275
2020-07-06,1.112224366288258,1.2399786817292464,0.992684936841818
2020-07-07,1.108304001090064,1.2339617371567029,0.9887799613792828
2020-07-08,1.0932406577385845,1.2176929644899668,0.9760126442498548
2020-07-09,1.0785905565022496,1.1997095908388231,0.9634459719127068
2020-07-10,1.0679705267907214,1.187245316303421,0.9544882774347536
2020-07-11,1.0663962875945094,1.1846006908757112,0.9546608764988114
2020-07-12,1.071404758624501,1.1890537203521752,0.9590420669653268
2020-07-13,1.0822880193360829,1.1999160220714309,0.9697469115266698
2020-07-14,1.0946557506213903,1.2125418889891624,0.9837282728141932
2020-07-15,1.1099723111796589,1.2257801713111716,0.998524186598548
2020-07-16,1.1303949509765479,1.2472854035357048,1.0200212989722108
2020-07-17,1.1587177976957268,1.276013594010156,1.0469859920581457
2020-07-18,1.1859153074671005,1.3026369683177983,1.0739655582649217
2020-07-19,1.1984899916114276,1.3147489038186304,1.0879064611094906
2020-07-20,1.1998730037741387,1.3135683486876355,1.090749429240392
2020-07-21,1.1840405582279092,1.2955902504384125,1.0773908411994773
2020-07-22,1.157737427516297,1.264863611088231,1.055189052777889
2020-07-23,1.1288585032256764,1.233122448836348,1.0292204939811875
2020-07-24,1.1047870947389573,1.2064561219623011,1.0076433554701945
2020-07-25,1.086469564715985,1.186106789112977,0.9916628133031332
2020-07-26,1.0735324911275834,1.170831380031289,0.98039896230717
2020-07-27,1.0676109552845967,1.1633129505246254,0.9754209071424874
2020-07-28,1.0706354476003397,1.1663356417048898,0.978963661896752
2020-07-29,1.0830543212321362,1.1783867535247656,0.9917714937640292
2020-07-30,1.103366745244441,1.1980983191019208,1.0125492859390648
2020-07-31,1.128001314706098,1.224999077754349,1.0361526084915171
2020-08-01,1.1551956630206393,1.2512323153438,1.062890222416635
2020-08-02,1.1693292447696495,1.26508660221046,1.07790657155284
2020-08-03,1.1682964375165268,1.262605284060988,1.077468603913065
2020-08-04,1.1537237386899901,1.245177383725017,1.0651349732564854
2020-08-05,1.1368304459837628,1.2258870591615891,1.0503616605314272
2020-08-06,1.1234341414700095,1.2112516292131517,1.0390919541054715
2020-08-07,1.1215116327945258,1.2074758454369954,1.0386798455063888
2020-08-08,1.1258683043905586,1.2106856354508506,1.0437338437526609
2020-08-09,1.13122355461876,1.2157457628586492,1.0497872672931656
2020-08-10,1.129311988414465,1.2138366748627334,1.0489477480655796
2020-08-11,1.120195926470458,1.2030153742786545,1.040761216088417
2020-08-12,1.1067366439766846,1.1876555430124551,1.0290963960535482
2020-08-13,1.0969732610687282,1.177659089456581,1.0198731635299585
2020-08-14,1.0966034151764446,1.175224177522302,1.0207348795553548
2020-08-15,1.1056449455182304,1.1840484688299249,1.0303621562057588
2020-08-16,1.1187347513710884,1.1968516280431374,1.043200552393153
2020-08-17,1.1232039334377286,1.1996267400410163,1.0492954932838507
2020-08-18,1.1185443974684055,1.194302435389177,1.0453615469591435
2020-08-19,1.1040126032744892,1.1782918787882737,1.03170036129534
2020-08-20,1.0886014482158208,1.1617073335407888,1.0178454138662074
2020-08-21,1.0824051395031329,1.1545827680759395,1.0122906603277522
2020-08-22,1.0878000513091213,1.1597417490795459,1.0184514141293732
