timestamp,Taux de positivité
2020-02-24,0.020833333333333332
2020-02-25,0.010416666666666666
2020-02-26,0.01535664213109008
2020-02-27,0.02137411242269032
2020-02-28,0.021553632922562054
2020-02-29,0.027040478797336082
2020-03-01,0.030089995651172867
2020-03-02,0.03338995580259745
2020-03-03,0.04655835165255755
2020-03-04,0.06318921176227989
2020-03-05,0.08968145581785857
2020-03-06,0.1009795553580286
2020-03-07,0.10636310559570458
2020-03-08,0.11634774461260167
2020-03-09,0.12294713046567331
2020-03-10,0.12391975013794419
2020-03-11,0.12319278768422835
2020-03-12,0.10105646850192876
2020-03-13,0.0995553993590567
2020-03-14,0.09943867461855285
2020-03-15,0.1030953557329456
2020-03-16,0.10345284498765252
2020-03-17,0.10553275170580277
2020-03-18,0.10376105852127757
2020-03-19,0.1137671284109633
2020-03-20,0.12270662009094462
2020-03-21,0.13497556341818934
2020-03-22,0.14934340102957758
2020-03-23,0.16319321565815667
2020-03-24,0.18428223205598734
2020-03-25,0.18859882584295956
2020-03-26,0.192465484293116
2020-03-27,0.19713321141936804
2020-03-28,0.1967527500193913
2020-03-29,0.19164481447667314
2020-03-30,0.19948048697238976
2020-03-31,0.189895386338471
2020-04-01,0.19200496916115659
2020-04-02,0.18996564578550706
2020-04-03,0.18611048634528918
2020-04-04,0.18052632251031442
2020-04-05,0.16752700846515417
2020-04-06,0.15877867134933124
2020-04-07,0.1513518431397656
2020-04-08,0.14454450625563903
2020-04-09,0.13982576620601683
2020-04-10,0.13249729347947378
2020-04-11,0.1323895828374499
2020-04-12,0.1329119625417274
2020-04-13,0.1261365150764162
2020-04-14,0.12259380505585638
2020-04-15,0.11710393397446948
2020-04-16,0.112977870376647
2020-04-17,0.10957620157345918
2020-04-18,0.10074733412536922
2020-04-19,0.09035458013910834
2020-04-20,0.08313920535377528
2020-04-21,0.07584635776402474
2020-04-22,0.07245583933069819
2020-04-23,0.06830118469430324
2020-04-24,0.06325973377346038
2020-04-25,0.0579805387621225
2020-04-26,0.056600854255421794
2020-04-27,0.05215896074085497
2020-04-28,0.04859779611008589
2020-04-29,0.04474448576813026
2020-04-30,0.04199626229421675
2020-05-01,0.03979685214672618
2020-05-02,0.03832238415440105
2020-05-03,0.035369947945004136
2020-05-04,0.03233027593705241
2020-05-05,0.02931572636948008
2020-05-06,0.028261254568969937
2020-05-07,0.02482140431271685
2020-05-08,0.023311380982132927
2020-05-09,0.022884770791642712
2020-05-10,0.023186316886189547
2020-05-11,0.020320753518034192
2020-05-12,0.01928196994908284
2020-05-13,0.017135562101673163
2020-05-14,0.01612876347866122
2020-05-15,0.014666016791351556
2020-05-16,0.01326448570415921
2020-05-17,0.011990293957408148
2020-05-18,0.012262719011640156
2020-05-19,0.012035973825871873
2020-05-20,0.01237686197118885
2020-05-21,0.01230156384227935
2020-05-22,0.011957169808644256
2020-05-23,0.010970292046535322
2020-05-24,0.010450517261526
2020-05-25,0.009202154175318075
2020-05-26,0.008634870817842186
2020-05-27,0.00778621054633785
2020-05-28,0.007460975612229637
2020-05-29,0.007557787805211487
2020-05-30,0.00764820017912893
2020-05-31,0.007801029694353708
2020-06-01,0.007345576857948491
2020-06-02,0.0074259673916215
2020-06-03,0.00746135425127998
2020-06-04,0.007056017825966293
2020-06-05,0.006287047812795263
2020-06-06,0.006035243940579829
2020-06-07,0.005597316938163622
2020-06-08,0.006015061908823137
2020-06-09,0.006090839888632139
2020-06-10,0.005639368380581934
2020-06-11,0.005709302693734783
2020-06-12,0.005890359679882415
2020-06-13,0.0060560579074890545
2020-06-14,0.006177286451819482
2020-06-15,0.005929697095845431
2020-06-16,0.005203189213575097
2020-06-17,0.005165943567905114
2020-06-18,0.00463026435793491
2020-06-19,0.004394372450018524
2020-06-20,0.0047279960765161345
2020-06-21,0.004896656997431621
2020-06-22,0.004917713340576025
2020-06-23,0.005217308019556196
2020-06-24,0.00564655066032666
2020-06-25,0.006277835185336477
2020-06-26,0.006809585880406245
2020-06-27,0.006798082033919006
2020-06-28,0.007476468730041537
2020-06-29,0.008050479637417974
2020-06-30,0.008968318114852509
2020-07-01,0.009679481797314555
2020-07-02,0.010371272614438255
2020-07-03,0.010610579331365175
2020-07-04,0.010838080315031817
2020-07-05,0.01107709302081129
2020-07-06,0.011845978555715602
2020-07-07,0.012102493258224671
2020-07-08,0.01232225696810266
2020-07-09,0.012702668564067241
2020-07-10,0.013554276900451741
2020-07-11,0.015403907761824284
2020-07-12,0.01717963554589075
2020-07-13,0.01756231148485815
2020-07-14,0.01844181752029778
2020-07-15,0.019452824915238007
2020-07-16,0.019786312546417266
2020-07-17,0.020275423818361744
2020-07-18,0.020248218903153863
2020-07-19,0.021498432190879997
2020-07-20,0.022221932042637428
2020-07-21,0.022336658516402708
2020-07-22,0.022374362190763802
2020-07-23,0.024544774302962154
2020-07-24,0.026230843431823306
2020-07-25,0.027608456281984415
2020-07-26,0.027012660654047924
2020-07-27,0.02890566827799917
2020-07-28,0.029788600565816503
2020-07-29,0.032651759741943134
2020-07-30,0.03302585446332932
2020-07-31,0.03384046801867826
2020-08-01,0.03480316522399427
2020-08-02,0.03522284329776442
2020-08-03,0.03462050019706993
2020-08-04,0.03490255289930124
2020-08-05,0.03343902331327562
2020-08-06,0.03266729421754664
2020-08-07,0.03215906605772538
2020-08-08,0.03203878570309411
2020-08-09,0.03567927758787367
2020-08-10,0.037340181231392156
2020-08-11,0.0389043662379849
2020-08-12,0.04019837084024048
2020-08-13,0.04147875479880886
2020-08-14,0.04221036269731664
2020-08-15,0.04245082556739254
