Cas confirmés,timestamp
1,2020-02-24
1,2020-02-25
6,2020-02-26
4,2020-02-27
13,2020-02-28
11,2020-02-29
8,2020-03-01
17,2020-03-02
26,2020-03-03
37,2020-03-04
49,2020-03-05
64,2020-03-06
58,2020-03-07
63,2020-03-08
66,2020-03-09
124,2020-03-10
122,2020-03-11
