timestamp,Allemagne,Belgique,Espagne,France,Italie,Suisse,Suède
2020-06-01,0.8931008341905091,0.9155015728461596,0.8682812975510745,0.9627635329438736,0.8999965338146815,1.1441777114070475,1.2132347268058006
2020-06-02,0.9064453882567324,0.9134617249860826,0.8705631719865572,0.9652552093664812,0.940108031029298,1.1826328303097433,1.1856488611947729
2020-06-03,0.92881130592327,0.904594060420806,0.8697212505451369,0.9751656675929208,0.9787276645368168,1.2134248975554942,1.159453781417259
2020-06-04,0.9655122158774,0.8988860095655655,0.8652142388098479,0.9922087440829236,1.0129254623115913,1.222509877634776,1.1389246194357825
2020-06-05,1.0266371616857324,0.897624743563897,0.8579556102824174,1.009868827344451,1.0368550171338906,1.2115071220160278,1.1236313169518597
2020-06-06,1.106276855361455,0.9052380492256834,0.8533788277665472,1.0227113251585784,1.0473959107115185,1.1927310568286351,1.1101214450083825
2020-06-07,1.1911849909618473,0.9062044239803928,0.8499904082974463,1.0289198076600976,1.0493859126049991,1.1824836395677454,1.09136413499983
2020-06-08,1.260596663971378,0.9070377281956652,0.8549167287076311,1.034556922867437,1.0389839240030678,1.1812691536142612,1.067443730106852
2020-06-09,1.3082229698212642,0.9131430870290674,0.8655625214130784,1.043785837434832,1.0206474577401488,1.1910649462381535,1.0415973729292218
2020-06-10,1.3397111071880907,0.9261634696263024,0.8842287454938538,1.056722967363397,0.9960045996556592,1.216886123586007,1.022066341066103
2020-06-11,1.3600824781285807,0.9480121718120806,0.9057753687587164,1.0703425489602243,0.9634725228241322,1.2641712683610795,1.0133898743147018
2020-06-12,1.3654780093908752,0.9685420789224012,0.93250702724521,1.0831254239078394,0.9291864022803688,1.3424043120429012,1.0137750155226033
2020-06-13,1.345564441464997,0.9864099584666788,0.966399350888066,1.0868540356990062,0.8972773976299565,1.4510573274794918,1.0153129631920326
2020-06-14,1.2994256319770954,0.9889546803781673,1.0070875631156524,1.0829411766295194,0.869224574861947,1.5514612350472266,1.0089415344800023
2020-06-15,1.2313275607460583,0.9804300883003454,1.0493226281463632,1.07356720833272,0.8455714717047637,1.6476500162314138,0.9944331880255212
2020-06-16,1.1543063050285816,0.974010322877488,1.0884712864262691,1.0687437654630458,0.8222885676205017,1.7252483861071162,0.9698303673138348
2020-06-17,1.0762903801247723,0.9738145101967398,1.1204877906543902,1.0691871081543889,0.8071165204384088,1.7827101396636011,0.940346990537033
2020-06-18,1.0034603099035613,0.9755728406729192,1.144473006707068,1.0721046658017663,0.8030036430246951,1.8175267739479013,0.9120129071578496
2020-06-19,0.9418477625898559,0.9784437586112515,1.1549379769764694,1.0742064793143662,0.8110578645085773,1.7757021238233055,0.8881488074104836
2020-06-20,0.8901932265241005,0.9785638036101264,1.1645103965597676,1.0708654933478658,0.8303222072648604,1.69959133435816,0.8644030541568919
2020-06-21,0.8450711433561758,0.9771352497583468,1.1735877872665577,1.059445202653818,0.8546863923310449,1.5882568934909096,0.8327618348012725
2020-06-22,0.8084632620557656,0.9707256348018009,1.1848882244505503,1.0496214199340617,0.8840625399504168,1.4637770954440177,0.7899586126102087
2020-06-23,0.7833774113977909,0.9656470440960412,1.1938992750507258,1.0416334355880543,0.915171336591488,1.330810442531456,0.7391504585027037
2020-06-24,0.7706850045484892,0.9690964186880036,1.2061582086852736,1.0406675066810165,0.9506361612726932,1.2004183194842957,0.6883427464764968
2020-06-25,0.7703562046618316,0.9905156421846926,1.2204972089194261,1.0407171870276468,0.9819308035883809,1.0967416111600743,0.6471988661529952
2020-06-26,0.7789449115243041,1.0076380661012474,1.2407755510666254,1.0385616021277178,1.012208982006388,1.0223735827099527,0.6174902129119532
2020-06-27,0.7938833029293962,1.0315501917986811,1.26830137865754,1.0316652068209646,1.0425993702282876,0.9796225827376592,0.5981143704149967
2020-06-28,0.8101916362479834,1.043121999257631,1.307621671046348,1.0168850167491583,1.066735530438055,0.9671423549996508,0.5888792794118808
2020-06-29,0.8274488821990238,1.0668225978317765,1.3558322681461747,1.000430995361375,1.075512574837184,0.97659284107448,0.5833107496112848
2020-06-30,0.8474889686618124,1.1046273041387458,1.4031636338101428,0.987242263214302,1.0698124525118768,0.9854882058696872,0.5808807593295331
2020-07-01,0.8739781800285348,1.1563084167565263,1.442132900563088,0.9870596769044188,1.0554293883797023,0.9987435560184642,0.5830680141188144
2020-07-02,0.9073900531013652,1.2244083964189736,1.4714957129550421,1.001864454390154,1.0401562532440451,1.030019958512309,0.5925900517350966
2020-07-03,0.9507690200138262,1.2947149487215943,1.4930408949869975,1.0259729520765974,1.0297999666597537,1.0605665788921317,0.6122210776637929
2020-07-04,0.9919264993740712,1.3614570431630448,1.5149784554809709,1.047224840570245,1.0232029675459229,1.1034797730733812,0.6391597708305685
2020-07-05,1.0230285800302352,1.402624423883489,1.5369707080284147,1.0638842857924748,1.0164902387200507,1.134684051764947,0.6696988803299411
2020-07-06,1.0492792459108815,1.4262277315077454,1.5554617159384962,1.0839176044397345,1.010424283079102,1.1463966135809285,0.7036122689695238
2020-07-07,1.0765077249514876,1.451943312651533,1.5658024351181277,1.1171908212305142,1.0056347605398606,1.1375952357732213,0.7337111364970315
2020-07-08,1.109439590783448,1.4854008628731696,1.563903031240114,1.1585558553810338,1.0070041305799602,1.1129303827621633,0.7608494240144161
2020-07-09,1.1452831050772891,1.5196749306679382,1.5489185882722831,1.1995712222490966,1.0150544092029048,1.089874907884097,0.7890211896213511
2020-07-10,1.1838160910179607,1.5407785946717134,1.5239694812896598,1.2324509722495527,1.031989442322906,1.0752993319451385,0.8191499667965929
